Title,Description,Creator,Date,Source,Format,Type,Subject,Rights,Identifier,ItemType Metadate: Original Format,ItemType Metadate: Physical Dimensions
Fox Hunt,Group of fox hunters fording Three River,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.47 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0083,,
Wadsworth House,Wadsworth Homestead Entrance. Hand colored post card,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 20.00 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0084,postcard; col.,
Wadsworth Hounds,Wadsworth Homestead,Unknown,1914-1915,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 4.83 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0085,photograph; b&w,
Wadsworth House,Wadsworth Homestead view from west field.,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 7.09 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0086,photograph; b&w,
Fox Hunt,Hunters and hounds get ready for the hunt to begin behind the Wadsworth homestead.,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.75 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0087,photograph; b&w,
Wadsworth House,Wadsworth Homestead view from entrance.,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.27 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0088,photograph; b&w,
Emerson Hall Fire,Fire Department rushing to extinguish fire at Emerson Hall ,McKutchen,1951-04-03,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.22 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0089,,
Emerson Hall,,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 20.35 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0090,postcard; b&w,
House,,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 17.34 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0091,photograph; b&w,
Campus Expansion,"Campus expansion displaced many village resident, college sororities and fraternities, and student boarding houses. These two photos capture the last moments of one of several Wadsworth Street home razed to make way for Newton Lecture Hall. verso: June 1965 site of lecture hall Wadsworth St. looking north.",Unknown,1956-06,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.93 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0092,photograph; b&w,
Campus Expansion,"Campus expansion displaced many village resident, college sororities and fraternities, and student boarding houses. These two photos capture the last moments of one of several Wadsworth Street home razed to make way for Newton Lecture Hall. verso: June 1965 site of lecture hall Wadsworth St. looking north.",Unknown,1956-06,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.93 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0093,photograph; b&w,
Main Street Geneseo,North Main Street Geneseo looking toward original G. House  original: glass plate negative,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 14.19 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0094,photograph; b&w,
Main Street Geneseo,Main St. looking north from south end. Merrell home (former Joseph Lewis) at right (one store at left and park)  original: Merrell glass plate negative,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 20.08 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0095,photograph; b&w,
Main Street Geneseo,Main St. looking north original: Merrell glass plate negative,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.97 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0096,photograph; b&w,
Main Street Geneseo,Main St. looking north original: Merrell glass plate negative,Unknown,1880,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.93 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0097,photograph; b&w,
